timestamp,open,high,low,close,volume
2024-06-12 00:00:00+00:00,541.63,544.12,540.3,541.36,63251300.0
2024-06-13 00:00:00+00:00,543.15,543.33,539.59,542.45,44760900.0
2024-06-14 00:00:00+00:00,540.88,542.81,539.85,542.78,40089900.0
2024-06-17 00:00:00+00:00,542.08,548.53,541.61,547.1,55839500.0
2024-06-18 00:00:00+00:00,547.16,548.62,546.73,548.49,41376400.0
2024-06-20 00:00:00+00:00,549.44,550.12,545.18,547.0,70328200.0
2024-06-21 00:00:00+00:00,544.4,545.65,543.02,544.51,64338600.0
2024-06-24 00:00:00+00:00,544.33,546.95,542.62,542.74,45528700.0
2024-06-25 00:00:00+00:00,543.99,545.2,542.44,544.83,37936200.0
2024-06-26 00:00:00+00:00,543.69,546.24,543.03,545.51,38550600.0
2024-06-27 00:00:00+00:00,545.37,546.96,544.61,546.37,35041500.0
2024-06-28 00:00:00+00:00,547.16,550.28,542.95,544.22,76144500.0
2024-07-01 00:00:00+00:00,545.63,545.88,542.52,545.34,40297800.0
2024-07-02 00:00:00+00:00,543.7,549.01,543.65,549.01,40434800.0
2024-07-03 00:00:00+00:00,548.69,551.83,548.65,551.46,32789900.0
2024-07-05 00:00:00+00:00,551.77,555.05,551.12,554.64,41488400.0
2024-07-08 00:00:00+00:00,555.44,556.25,554.19,555.28,36110500.0
2024-07-09 00:00:00+00:00,556.26,557.18,555.52,555.82,27289700.0
2024-07-10 00:00:00+00:00,557.07,561.67,556.77,561.32,38701200.0
2024-07-11 00:00:00+00:00,561.44,562.33,555.83,556.48,53054200.0
2024-07-12 00:00:00+00:00,557.63,563.67,557.15,559.99,53084400.0
2024-07-15 00:00:00+00:00,562.03,564.84,559.63,561.53,40584300.0
2024-07-16 00:00:00+00:00,562.87,565.16,562.1,564.86,36475300.0
2024-07-17 00:00:00+00:00,558.8,560.51,556.61,556.94,57119000.0
2024-07-18 00:00:00+00:00,558.51,559.52,550.43,552.66,56270400.0
2024-07-19 00:00:00+00:00,552.42,554.08,547.91,548.99,65509100.0
2024-07-22 00:00:00+00:00,553.0,555.27,551.02,554.65,43346700.0
2024-07-23 00:00:00+00:00,554.54,556.74,553.28,553.78,34439600.0
2024-07-24 00:00:00+00:00,548.86,549.17,540.29,541.23,74515300.0
2024-07-25 00:00:00+00:00,541.35,547.46,537.45,538.41,61158300.0
2024-07-26 00:00:00+00:00,542.28,547.19,541.49,544.44,53763800.0
2024-07-29 00:00:00+00:00,546.02,547.05,542.72,544.76,39515800.0
2024-07-30 00:00:00+00:00,546.26,547.34,538.52,542.0,46853600.0
2024-07-31 00:00:00+00:00,548.98,553.5,547.58,550.81,65663400.0
2024-08-01 00:00:00+00:00,552.57,554.87,539.43,543.01,76428700.0
2024-08-02 00:00:00+00:00,535.75,536.99,528.6,532.9,82789100.0
2024-08-05 00:00:00+00:00,511.64,523.58,510.27,517.38,146267400.0
2024-08-06 00:00:00+00:00,519.22,529.75,517.87,522.15,84826300.0
2024-08-07 00:00:00+00:00,528.47,531.59,518.05,518.66,70698300.0
2024-08-08 00:00:00+00:00,523.91,531.29,521.84,530.65,63276600.0
2024-08-09 00:00:00+00:00,529.81,534.51,528.56,532.99,45619600.0
2024-08-12 00:00:00+00:00,534.21,535.73,530.95,533.27,42542100.0
2024-08-13 00:00:00+00:00,536.53,542.28,536.28,542.04,52333100.0
2024-08-14 00:00:00+00:00,542.85,544.96,540.12,543.75,42446900.0
2024-08-15 00:00:00+00:00,549.5,553.36,548.88,553.07,60846800.0
2024-08-16 00:00:00+00:00,551.42,555.02,551.26,554.31,44430700.0
2024-08-19 00:00:00+00:00,554.73,559.61,553.86,559.61,39121800.0
2024-08-20 00:00:00+00:00,559.15,560.84,557.33,558.7,33732300.0
2024-08-21 00:00:00+00:00,559.77,562.11,554.73,560.62,41514600.0
2024-08-22 00:00:00+00:00,562.56,563.18,554.98,556.22,56121500.0
2024-08-23 00:00:00+00:00,559.53,563.09,557.29,562.13,50639400.0
2024-08-26 00:00:00+00:00,563.18,563.91,559.05,560.79,35788600.0
2024-08-27 00:00:00+00:00,559.49,562.06,558.32,561.56,32693900.0
2024-08-28 00:00:00+00:00,561.21,561.65,555.04,558.3,41066000.0
2024-08-29 00:00:00+00:00,560.31,563.68,557.18,558.35,38715200.0
2024-08-30 00:00:00+00:00,560.77,564.2,557.14,563.68,62700100.0
2024-09-03 00:00:00+00:00,560.47,560.81,549.51,552.08,60600100.0
2024-09-04 00:00:00+00:00,550.2,554.43,549.46,550.95,47224900.0
2024-09-05 00:00:00+00:00,550.89,553.8,547.1,549.61,44264300.0
2024-09-06 00:00:00+00:00,549.94,551.6,539.44,540.36,68493800.0
2024-09-09 00:00:00+00:00,544.65,547.71,542.68,546.41,40445800.0
2024-09-10 00:00:00+00:00,548.36,549.15,543.38,548.79,36394600.0
2024-09-11 00:00:00+00:00,548.7,555.36,539.96,554.42,75248600.0
2024-09-12 00:00:00+00:00,555.01,559.4,552.74,559.09,51819600.0
2024-09-13 00:00:00+00:00,559.71,563.03,559.45,562.01,39310500.0
2024-09-16 00:00:00+00:00,561.74,563.11,559.9,562.84,36656100.0
2024-09-17 00:00:00+00:00,565.1,566.58,560.79,563.07,49321000.0
2024-09-18 00:00:00+00:00,563.74,568.69,560.83,561.4,59044900.0
2024-09-19 00:00:00+00:00,571.01,572.88,568.08,570.98,75315500.0
2024-09-20 00:00:00+00:00,567.84,569.31,565.17,568.25,77503100.0
2024-09-23 00:00:00+00:00,569.34,570.33,568.1,569.67,44116900.0
2024-09-24 00:00:00+00:00,570.48,571.36,567.6,571.3,46805700.0
2024-09-25 00:00:00+00:00,571.14,571.89,568.91,570.04,38428600.0
2024-09-26 00:00:00+00:00,574.38,574.71,569.9,572.3,48336000.0
2024-09-27 00:00:00+00:00,573.39,574.22,570.42,571.47,42100900.0
2024-09-30 00:00:00+00:00,570.42,574.38,568.08,573.76,63557400.0
2024-10-01 00:00:00+00:00,573.4,574.06,566.0,568.62,72668800.0
2024-10-02 00:00:00+00:00,567.71,569.9,565.27,568.86,38097800.0
2024-10-03 00:00:00+00:00,567.36,569.8,565.49,567.82,40846500.0
2024-10-04 00:00:00+00:00,572.35,573.36,568.1,572.98,42939100.0
2024-10-07 00:00:00+00:00,571.3,571.96,566.63,567.8,49964700.0
2024-10-08 00:00:00+00:00,570.42,573.78,569.53,573.17,37398700.0
2024-10-09 00:00:00+00:00,573.16,577.71,572.55,577.14,37912200.0
2024-10-10 00:00:00+00:00,575.77,577.58,574.49,576.13,44138100.0
2024-10-11 00:00:00+00:00,576.05,580.33,575.91,579.58,42268000.0
2024-10-14 00:00:00+00:00,581.22,585.27,580.73,584.32,36217200.0
2024-10-15 00:00:00+00:00,584.59,584.9,578.54,579.78,54203600.0
2024-10-16 00:00:00+00:00,579.78,582.83,578.96,582.3,30725400.0
2024-10-17 00:00:00+00:00,585.91,586.12,582.16,582.35,34393700.0
2024-10-18 00:00:00+00:00,584.07,585.39,582.58,584.59,37416800.0
2024-10-21 00:00:00+00:00,583.85,584.85,580.6,583.63,36439000.0
2024-10-22 00:00:00+00:00,581.05,584.5,580.38,583.32,34183800.0
2024-10-23 00:00:00+00:00,581.26,581.71,574.42,577.99,49314600.0
2024-10-24 00:00:00+00:00,579.98,580.06,576.57,579.24,34979900.0
2024-10-25 00:00:00+00:00,581.51,584.46,578.08,579.04,47268200.0
2024-10-28 00:00:00+00:00,582.58,582.71,580.52,580.83,30174700.0
2024-10-29 00:00:00+00:00,579.85,582.91,578.43,581.77,42899700.0
2024-10-30 00:00:00+00:00,581.29,583.32,579.29,580.01,41435800.0
2024-10-31 00:00:00+00:00,575.56,575.63,568.44,568.64,60182500.0
2024-11-01 00:00:00+00:00,571.32,575.55,570.62,571.04,45667500.0
2024-11-04 00:00:00+00:00,571.18,572.5,567.89,569.81,38217000.0
2024-11-05 00:00:00+00:00,570.74,576.74,570.52,576.7,39478300.0
2024-11-06 00:00:00+00:00,589.2,591.93,585.39,591.04,68182000.0
2024-11-07 00:00:00+00:00,593.08,596.65,593.0,595.61,47233200.0
2024-11-08 00:00:00+00:00,596.17,599.64,596.17,598.19,46444900.0
2024-11-11 00:00:00+00:00,599.81,600.17,597.0,598.76,37586800.0
2024-11-12 00:00:00+00:00,598.68,599.29,594.37,596.9,43006100.0
2024-11-13 00:00:00+00:00,597.37,599.23,594.96,597.19,47388600.0
2024-11-14 00:00:00+00:00,597.32,597.81,592.65,593.35,38904100.0
2024-11-15 00:00:00+00:00,589.72,590.2,583.86,585.75,75988800.0
2024-11-18 00:00:00+00:00,586.22,589.49,585.34,588.15,37001700.0
2024-11-19 00:00:00+00:00,584.71,591.04,584.03,590.3,49412000.0
2024-11-20 00:00:00+00:00,590.38,590.79,584.63,590.5,50032600.0
2024-11-21 00:00:00+00:00,593.4,595.12,587.45,593.67,46750300.0
2024-11-22 00:00:00+00:00,593.66,596.15,593.15,595.51,38226400.0
2024-11-25 00:00:00+00:00,599.52,600.86,595.2,597.53,42441400.0
2024-11-26 00:00:00+00:00,598.8,601.33,598.07,600.65,45621300.0
2024-11-27 00:00:00+00:00,600.46,600.85,597.28,598.83,34000200.0
2024-11-29 00:00:00+00:00,599.66,603.35,599.38,602.55,30177400.0
2024-12-02 00:00:00+00:00,602.97,604.32,602.47,603.63,31746000.0
2024-12-03 00:00:00+00:00,603.39,604.16,602.34,603.91,26906600.0
2024-12-04 00:00:00+00:00,605.63,607.91,604.95,607.66,42787600.0
2024-12-05 00:00:00+00:00,607.66,608.48,606.3,606.66,28762200.0
2024-12-06 00:00:00+00:00,607.44,609.07,607.02,607.81,31241500.0
2024-12-09 00:00:00+00:00,607.69,607.86,604.08,604.68,34742700.0
2024-12-10 00:00:00+00:00,605.37,605.8,602.13,602.8,37234500.0
2024-12-11 00:00:00+00:00,605.78,608.43,605.5,607.46,28677700.0
2024-12-12 00:00:00+00:00,606.58,607.16,604.33,604.33,31543800.0
2024-12-13 00:00:00+00:00,606.4,607.13,602.81,604.21,35904700.0
2024-12-16 00:00:00+00:00,606.0,607.78,605.21,606.79,43695200.0
2024-12-17 00:00:00+00:00,604.19,605.17,602.89,604.29,55773500.0
2024-12-18 00:00:00+00:00,603.98,606.41,585.89,586.28,108248700.0
2024-12-19 00:00:00+00:00,591.36,593.0,585.85,586.1,85919500.0
2024-12-20 00:00:00+00:00,581.77,595.75,580.91,591.15,125716700.0
2024-12-23 00:00:00+00:00,590.89,595.3,587.66,594.69,57635800.0
2024-12-24 00:00:00+00:00,596.06,601.34,595.47,601.3,33160100.0
2024-12-26 00:00:00+00:00,599.5,602.48,598.08,601.34,41219100.0
2024-12-27 00:00:00+00:00,597.54,597.78,590.76,595.01,64969300.0
2024-12-30 00:00:00+00:00,587.89,591.74,584.41,588.22,56578800.0
2024-12-31 00:00:00+00:00,589.91,590.64,584.42,586.08,57052700.0
2025-01-02 00:00:00+00:00,589.39,591.13,580.5,584.64,50204000.0
2025-01-03 00:00:00+00:00,587.53,592.6,586.43,591.95,37888500.0
2025-01-06 00:00:00+00:00,596.27,599.7,593.6,595.36,47679400.0
2025-01-07 00:00:00+00:00,597.42,597.75,586.78,588.63,60393100.0
2025-01-08 00:00:00+00:00,588.7,590.58,585.2,589.49,47304700.0
2025-01-10 00:00:00+00:00,585.88,585.95,578.55,580.49,73105000.0
2025-01-13 00:00:00+00:00,575.77,581.75,575.35,581.39,47910100.0
2025-01-14 00:00:00+00:00,584.36,585.0,578.35,582.19,48420600.0
2025-01-15 00:00:00+00:00,590.33,593.94,589.2,592.78,56900200.0
2025-01-16 00:00:00+00:00,594.17,594.35,590.93,591.64,43319700.0
2025-01-17 00:00:00+00:00,596.96,599.36,595.61,597.58,58070600.0
2025-01-21 00:00:00+00:00,600.67,603.06,598.67,603.05,42532900.0
2025-01-22 00:00:00+00:00,605.92,607.82,605.36,606.44,48196000.0
2025-01-23 00:00:00+00:00,605.8,609.75,605.52,609.75,41152100.0
2025-01-24 00:00:00+00:00,609.81,610.78,606.8,607.97,34604700.0
2025-01-27 00:00:00+00:00,594.81,599.69,594.64,599.37,70361100.0
2025-01-28 00:00:00+00:00,600.62,605.37,597.25,604.52,44433300.0
2025-01-29 00:00:00+00:00,603.72,604.13,599.22,601.81,37177400.0
2025-01-30 00:00:00+00:00,603.96,606.6,600.72,605.04,39281300.0
2025-01-31 00:00:00+00:00,607.5,609.96,601.05,601.82,66566900.0
2025-02-03 00:00:00+00:00,592.67,600.29,590.49,597.77,65857200.0
2025-02-04 00:00:00+00:00,597.83,602.3,597.28,601.78,33457800.0
2025-02-05 00:00:00+00:00,600.64,604.37,598.58,604.22,30653100.0
2025-02-06 00:00:00+00:00,605.99,606.45,602.63,606.32,35771500.0
2025-02-07 00:00:00+00:00,606.89,608.13,600.05,600.77,50788500.0
2025-02-10 00:00:00+00:00,604.03,605.5,602.74,604.85,26048700.0
2025-02-11 00:00:00+00:00,602.55,605.86,602.43,605.31,30056700.0
2025-02-12 00:00:00+00:00,599.2,604.55,598.51,603.36,45076100.0
2025-02-13 00:00:00+00:00,604.48,609.94,603.2,609.73,40921300.0
2025-02-14 00:00:00+00:00,609.94,610.99,609.07,609.7,26910400.0
2025-02-18 00:00:00+00:00,610.88,611.49,608.38,611.49,26749000.0
2025-02-19 00:00:00+00:00,610.08,613.23,609.56,612.93,31011100.0
2025-02-20 00:00:00+00:00,611.54,611.68,607.02,610.38,36554000.0
2025-02-21 00:00:00+00:00,610.16,610.3,599.47,599.94,76519800.0
2025-02-24 00:00:00+00:00,602.02,603.03,596.49,597.21,50737200.0
2025-02-25 00:00:00+00:00,597.15,597.89,589.56,594.24,58266500.0
2025-02-26 00:00:00+00:00,595.93,599.58,591.86,594.54,43321600.0
2025-02-27 00:00:00+00:00,596.85,598.02,584.65,585.05,74196700.0
2025-02-28 00:00:00+00:00,585.56,594.72,582.44,594.18,88744100.0
2025-03-03 00:00:00+00:00,596.18,597.34,579.9,583.77,74249200.0
2025-03-04 00:00:00+00:00,579.71,585.39,572.25,576.86,109648200.0
2025-03-05 00:00:00+00:00,576.69,584.88,573.08,583.06,71230500.0
2025-03-06 00:00:00+00:00,575.48,580.17,570.12,572.71,80094900.0
2025-03-07 00:00:00+00:00,570.9,577.39,565.63,575.92,81158800.0
2025-03-10 00:00:00+00:00,567.59,569.54,555.59,560.58,99326600.0
2025-03-11 00:00:00+00:00,559.4,564.02,552.02,555.92,88102100.0
2025-03-12 00:00:00+00:00,562.17,563.11,553.69,558.87,69588200.0
2025-03-13 00:00:00+00:00,558.49,559.11,549.68,551.42,74079400.0
2025-03-14 00:00:00+00:00,556.11,563.83,551.49,562.81,62660300.0
2025-03-17 00:00:00+00:00,562.79,569.71,562.35,567.15,49008700.0
2025-03-18 00:00:00+00:00,564.8,565.02,559.06,561.02,66041400.0
2025-03-19 00:00:00+00:00,562.83,570.95,561.63,567.13,66556000.0
2025-03-20 00:00:00+00:00,563.33,570.57,562.6,565.49,62958200.0
2025-03-21 00:00:00+00:00,559.28,564.89,558.03,563.98,83763000.0
2025-03-24 00:00:00+00:00,570.8,575.15,570.2,574.08,58766800.0
2025-03-25 00:00:00+00:00,575.3,576.41,573.69,575.46,38355700.0
2025-03-26 00:00:00+00:00,575.19,576.33,567.19,568.59,51848300.0
2025-03-27 00:00:00+00:00,567.18,570.9,564.94,567.08,42164200.0
2025-03-28 00:00:00+00:00,565.53,566.27,555.07,555.66,71662700.0
2025-03-31 00:00:00+00:00,549.83,560.71,546.87,559.39,95328200.0
2025-04-01 00:00:00+00:00,557.45,562.94,553.68,560.97,54609600.0
2025-04-02 00:00:00+00:00,555.05,567.42,554.81,564.52,76014500.0
2025-04-03 00:00:00+00:00,545.11,547.97,536.7,536.7,125986000.0
2025-04-04 00:00:00+00:00,523.67,525.87,505.06,505.28,217965100.0
2025-04-07 00:00:00+00:00,489.19,523.17,481.8,504.38,256611400.0
2025-04-08 00:00:00+00:00,521.86,524.98,489.16,496.48,165816600.0
2025-04-09 00:00:00+00:00,493.44,548.62,493.05,548.62,241867300.0
2025-04-10 00:00:00+00:00,532.17,533.5,509.32,524.58,162331200.0
2025-04-11 00:00:00+00:00,523.01,536.43,520.07,533.94,97866300.0
2025-04-14 00:00:00+00:00,544.05,544.28,533.86,539.12,68034000.0
2025-04-15 00:00:00+00:00,539.67,543.23,536.81,537.61,56892900.0
2025-04-16 00:00:00+00:00,531.68,537.89,520.29,525.66,83484800.0
2025-04-17 00:00:00+00:00,527.64,531.17,523.91,526.41,79868100.0
2025-04-21 00:00:00+00:00,521.16,521.7,508.46,513.88,69368100.0
2025-04-22 00:00:00+00:00,520.14,529.3,519.19,527.25,75948100.0
2025-04-23 00:00:00+00:00,540.43,545.43,533.88,535.42,90590700.0
2025-04-24 00:00:00+00:00,536.72,547.43,535.45,546.69,64150400.0
2025-04-25 00:00:00+00:00,546.65,551.05,543.69,550.64,61119600.0
2025-04-28 00:00:00+00:00,551.39,553.55,545.02,550.85,47613800.0
2025-04-29 00:00:00+00:00,548.91,555.45,548.55,554.32,47775100.0
2025-04-30 00:00:00+00:00,547.57,556.52,541.52,554.54,93101500.0
2025-05-01 00:00:00+00:00,560.37,564.07,557.86,558.47,63186100.0
2025-05-02 00:00:00+00:00,564.73,568.38,562.38,566.76,60717300.0
2025-05-05 00:00:00+00:00,562.57,566.65,561.7,563.51,38659200.0
2025-05-06 00:00:00+00:00,557.93,563.35,556.96,558.8,48264700.0
2025-05-07 00:00:00+00:00,560.15,563.82,556.04,561.15,55588000.0
2025-05-08 00:00:00+00:00,565.24,570.31,561.7,565.06,65130800.0
2025-05-09 00:00:00+00:00,566.48,567.5,562.76,564.34,37603400.0
2025-05-12 00:00:00+00:00,581.47,583.0,577.04,582.99,78993600.0
2025-05-13 00:00:00+00:00,583.41,589.08,582.84,586.84,67947200.0
2025-05-14 00:00:00+00:00,587.81,588.98,585.54,587.59,66283500.0
2025-05-15 00:00:00+00:00,585.56,590.97,585.1,590.46,71268100.0
2025-05-16 00:00:00+00:00,591.25,594.5,589.28,594.2,76052100.0
2025-05-19 00:00:00+00:00,588.1,595.54,588.1,594.85,68168500.0
2025-05-20 00:00:00+00:00,593.09,594.05,589.6,592.85,60614500.0
2025-05-21 00:00:00+00:00,588.44,592.58,581.82,582.86,95197700.0
2025-05-22 00:00:00+00:00,582.66,586.62,581.41,583.09,70860400.0
2025-05-23 00:00:00+00:00,575.98,581.81,575.6,579.11,76029000.0
2025-05-27 00:00:00+00:00,586.07,591.31,578.43,591.15,72588500.0
2025-05-28 00:00:00+00:00,591.56,592.77,586.99,587.73,68445500.0
2025-05-29 00:00:00+00:00,593.06,593.2,586.07,590.05,69973300.0
2025-05-30 00:00:00+00:00,588.93,591.13,583.24,589.39,90601200.0
2025-06-02 00:00:00+00:00,587.76,592.79,585.06,592.71,61630500.0
2025-06-03 00:00:00+00:00,592.34,597.08,591.85,596.09,63606200.0
2025-06-04 00:00:00+00:00,596.96,597.95,595.49,595.93,57314200.0
2025-06-05 00:00:00+00:00,597.63,599.0,591.05,593.05,92278700.0
2025-06-06 00:00:00+00:00,598.66,600.83,596.86,599.14,66588700.0
2025-06-09 00:00:00+00:00,599.72,601.25,598.49,599.68,53016400.0
2025-06-10 00:00:00+00:00,600.22,603.47,599.09,603.08,66247000.0
2025-06-11 00:00:00+00:00,604.19,605.06,599.27,601.36,73658200.0
2025-06-12 00:00:00+00:00,600.01,603.75,599.52,603.75,64129000.0
